Sentence,Stimulus,Transcription Rater 1,Score,participant,Similarity,Predicted_score
1.0,Quiero cortarme el pelo,Quiero cortarme el pelo,,participant1.csv,1.000000238418579,2
2.0,El libro está en la mesa,El libro está en la mesa,,participant1.csv,1.0,2
3.0,El carro lo tiene Pedro,El carro lo tiene Pedro,,participant1.csv,0.9999998807907104,2
4.0,El se ducha cada mañana,El se ducha cada mañana,,participant1.csv,1.0,2
5.0,¿Qué dice usted que va a hacer hoy?,Que dices ustedes se que van a hacer hoy?,,participant1.csv,0.9547082781791687,2
6.0,Dudo que sepa manejar muy bien,Dudo que sepa manajar bien,,participant1.csv,0.8547635078430176,2
7.0,Las calles de esta ciudad son muy anchas,Las calles de esta cuidad son muy anchas,,participant1.csv,0.9566935300827026,2
8.0,Puede que llueva mañana todo el día,Puede que lleva mañana todo el día,,participant1.csv,0.7493098974227905,1
9.0,Las casas son muy bonitas pero caras,Las casas son muy bonitas pero muy cadas,,participant1.csv,0.8731496930122375,2
10.0,Me gustan las películas que acaban bien,Me gustan las peliculas que acaban bien,,participant1.csv,0.540313720703125,0
11.0,El chico con el que yo salgo es español,El chico con yo salgo ...um.. está bien,,participant1.csv,0.6089705228805542,0
12.0,Después de cenar me fui a dormir tranquilo,Despues de cenar me fui a dormir tranquilo,,participant1.csv,0.9626697897911072,2
13.0,Quiero una casa en la que vivan mis animales,Quiero una casa que vivan los animales,,participant1.csv,0.9793424606323242,2
14.0,A nosotros nos fascinan las fiestas grandiosas,A nosotros ..nos fascina los fiestas grandiosos,,participant1.csv,0.9819286465644836,2
15.0,Ella sólo bebe cerveza y no come nada,Ella solo bebe cerveza y no come nada,,participant1.csv,0.9993342161178589,2
16.0,Me gustaría que el precio de las casas bajara,Me gustaría que las precios de las casas bajaron,,participant1.csv,0.986929714679718,2
17.0,Cruza a la derecha y después sigue todo recto,Cruza a la derecha y sigue a la izquierda,,participant1.csv,0.9202568531036377,2
18.0,Ella ha terminado de pintar su apartamento,Ella ha terminado pintando su apartamento,,participant1.csv,0.9928324222564697,2
19.0,Me gustaría que empezara a hacer más calor pronto,Me gustaría se .. más calor,,participant1.csv,0.8690215945243835,2
20.0,El niño al que se le murió el gato está triste,El niño que se murió su gato es triste,,participant1.csv,0.9884891510009766,2
21.0,Una amiga mía cuida a los niños de mi vecino,una amiga de mio cuida su... niños de vecino,,participant1.csv,0.9065679311752319,2
22.0,El gato que era negro fue perseguido por el perro,El gato que era negro era perseguido de(l) perro,,participant1.csv,0.9860957264900208,2
23.0,Antes de poder salir él tiene que limpiar su cuarto,Antes de salir el tiene que limpiar su cuarto,,participant1.csv,0.9875603914260864,2
24.0,La cantidad de personas que fuman ha disminuido,La cantidad de personas que fuman ha..desmenido,,participant1.csv,0.8383725881576538,1
25.0,Después de llegar a casa del trabajo tomé la cena,Despues de llegar a casa del trabajo...se...meh,,participant1.csv,0.5810424089431763,0
26.0,El ladrón al que atrapó la policía era famoso,El ladrón que atrapó la policia era famoso,,participant1.csv,0.9949113130569458,2
27.0,Le pedí a un amigo que me ayudara con la tarea,Le pedí a un amigo que me ayudara con la tarea,,participant1.csv,1.0000001192092896,2
28.0,El examen no fue tan difícil como me habían dicho,El examen no fue tan dificil como me decían,,participant1.csv,0.9930379986763,2
29.0,¿Serías tan amable de darme el libro que está en la mesa?,Serías tan amable pa'- darme el libro que está en la mesa?,,participant1.csv,0.9820955991744995,2
30.0,Hay mucha gente que no toma nada para el desayuno,Hay mucha genta que no to- toma nada para el desayuno.,,participant1.csv,0.9895285367965698,2
1.0,Quiero cortarme el pelo,Quiero cortarme el pelo,,participant2.csv,1.000000238418579,2
2.0,El libro está en la mesa,El libro está en la mesa.,,participant2.csv,0.9980374574661255,2
3.0,El carro lo tiene Pedro,El carro tiene pelo.,,participant2.csv,0.3285425305366516,0
4.0,El se ducha cada mañana,él se ducha cada mañana,,participant2.csv,0.9908710718154907,2
5.0,¿Qué dice usted que va a hacer hoy?,en que ustedes x uf x hacer hoy?,,participant2.csv,0.8503406643867493,2
6.0,Dudo que sepa manejar muy bien,dudo/tu no? sepiar exx muy bien,,participant2.csv,0.5456286668777466,0
7.0,Las calles de esta ciudad son muy anchas,La calles estén xxxx muy anchas.,,participant2.csv,0.9280061721801758,2
8.0,Puede que llueva mañana todo el día,Puede que mañana todo la día,,participant2.csv,0.7645803093910217,1
9.0,Las casas son muy bonitas pero caras,Las casas muy bonitos pero ... casas,,participant2.csv,0.7801235914230347,1
10.0,Me gustan las películas que acaban bien,Me gustan las películas campan bien,,participant2.csv,0.9547150731086731,2
